#Date: 2023-11-07 05:51:37
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status time-taken
2023-11-07 05:51:41 ::1 GET /core/hash/Terrasoft/utils/sso/providers/saml-start-sso-client-provider.js v=8.1.0.6704 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2Findex.html%23IntroPage%2FSystemDesigner 304 1
2023-11-07 05:51:41 ::1 GET /core/hash/Terrasoft/utils/sso/ssoutils.js v=8.1.0.6704 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2Findex.html%23IntroPage%2FSystemDesigner 304 3
2023-11-07 05:51:41 ::1 GET /core/hash/Terrasoft/utils/two-factor-auth/two-factor-auth-utils.js v=8.1.0.6704 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2Findex.html%23IntroPage%2FSystemDesigner 304 2
2023-11-07 05:51:41 ::1 GET /core/hash/Terrasoft/utils/sso/providers/open-id-start-sso-client-provider.js v=8.1.0.6704 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2Findex.html%23IntroPage%2FSystemDesigner 304 15
2023-11-07 05:51:41 ::1 GET /core/hash/Terrasoft/amd/login-model-utils.js v=8.1.0.6704 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2Findex.html%23IntroPage%2FSystemDesigner 304 18
2023-11-07 05:51:41 ::1 GET /core/hash/user-agent-parser/user-agent-parser.min.js v=8.1.0.6704 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2Findex.html%23IntroPage%2FSystemDesigner 304 1
2023-11-07 05:51:41 ::1 GET /core/hash/Terrasoft/utils/user-agent.js v=8.1.0.6704 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2Findex.html%23IntroPage%2FSystemDesigner 304 1
2023-11-07 05:51:41 ::1 GET /core/hash/Terrasoft/controls/comboboxedit/arrow.png - 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/core/hash/combined/all-combined.css?v=8.1.0.6704 304 1
2023-11-07 05:51:41 ::1 GET /Login/logo.svg - 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2Findex.html%23IntroPage%2FSystemDesigner 304 3
2023-11-07 05:51:53 ::1 POST /ServiceModel/AuthService.svc/Login - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2Findex.html%23IntroPage%2FSystemDesigner 200 243
2023-11-07 05:51:54 ::1 GET /Shell/assets/loading-animation.js - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Shell/index.html 304 910
2023-11-07 05:51:54 ::1 GET /Shell/polyfills.0f1cd00feec2e3b6.js - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Shell/index.html 304 909
2023-11-07 05:51:54 ::1 GET /Shell/main.518db4dff69e2fef.js - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Shell/index.html 304 909
2023-11-07 05:51:54 ::1 GET /Shell/assets/generate-safari-favicon.js - 5000 Supervisor ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Shell/index.html 304 909
